contagion_type,population_density,k_cap_mean,k_cap_sd,network_replicate,contagion_replicate,final_infected_fraction,time_to_majority,reached_majority_spread,max_slope
complex,1e-05,50,25.0,0,0,0.919,12.0,True,0.05399999999999999
complex,1e-05,50,25.0,0,1,0.419,,False,0.044000000000000004
complex,1e-05,50,25.0,0,2,0.784,10.0,True,0.056999999999999995
complex,1e-05,50,25.0,0,3,0.383,,False,0.039
complex,1e-05,50,25.0,0,4,0.281,,False,0.046
complex,1e-05,50,25.0,1,0,0.841,11.0,True,0.069
complex,1e-05,50,25.0,1,1,0.318,,False,0.03899999999999999
complex,1e-05,50,25.0,1,2,0.34,,False,0.041
complex,1e-05,50,25.0,1,3,0.676,15.0,True,0.046
complex,1e-05,50,25.0,1,4,0.448,,False,0.043000000000000003
complex,1e-05,50,25.0,2,0,0.675,19.0,True,0.047
complex,1e-05,50,25.0,2,1,0.247,,False,0.04
complex,1e-05,50,25.0,2,2,0.725,15.0,True,0.046999999999999986
complex,1e-05,50,25.0,2,3,0.632,16.0,True,0.052000000000000005
complex,1e-05,50,25.0,2,4,0.409,,False,0.05
complex,1e-05,50,25.0,3,0,0.254,,False,0.03900000000000001
complex,1e-05,50,25.0,3,1,0.593,13.0,True,0.04799999999999999
complex,1e-05,50,25.0,3,2,0.791,11.0,True,0.05500000000000001
complex,1e-05,50,25.0,3,3,0.446,,False,0.061
complex,1e-05,50,25.0,3,4,0.453,,False,0.051000000000000004
complex,1e-05,50,25.0,4,0,0.498,,False,0.055
complex,1e-05,50,25.0,4,1,0.748,7.0,True,0.07900000000000001
complex,1e-05,50,25.0,4,2,0.643,12.0,True,0.055999999999999994
complex,1e-05,50,25.0,4,3,0.643,11.0,True,0.060000000000000026
complex,1e-05,50,25.0,4,4,0.438,,False,0.043000000000000003
complex,1e-05,50,25.0,5,0,0.488,,False,0.063
complex,1e-05,50,25.0,5,1,0.543,15.0,True,0.049999999999999996
complex,1e-05,50,25.0,5,2,0.604,25.0,True,0.043000000000000003
complex,1e-05,50,25.0,5,3,0.763,25.0,True,0.036
complex,1e-05,50,25.0,5,4,0.402,,False,0.032999999999999995
complex,1e-05,50,25.0,6,0,0.485,,False,0.045
complex,1e-05,50,25.0,6,1,0.704,14.0,True,0.059
complex,1e-05,50,25.0,6,2,0.66,52.0,True,0.030999999999999993
complex,1e-05,50,25.0,6,3,0.476,,False,0.05500000000000001
complex,1e-05,50,25.0,6,4,0.457,,False,0.036000000000000004
complex,1e-05,50,25.0,7,0,0.82,9.0,True,0.059
complex,1e-05,50,25.0,7,1,0.56,20.0,True,0.04700000000000001
complex,1e-05,50,25.0,7,2,0.848,13.0,True,0.044999999999999984
complex,1e-05,50,25.0,7,3,0.237,,False,0.036000000000000004
complex,1e-05,50,25.0,7,4,0.663,13.0,True,0.049999999999999996
complex,1e-05,50,25.0,8,0,0.796,16.0,True,0.054000000000000006
complex,1e-05,50,25.0,8,1,0.493,,False,0.04000000000000001
complex,1e-05,50,25.0,8,2,0.561,11.0,True,0.068
complex,1e-05,50,25.0,8,3,0.323,,False,0.034
complex,1e-05,50,25.0,8,4,0.529,29.0,True,0.040999999999999995
complex,1e-05,50,25.0,9,0,0.668,19,True,0.051
complex,1e-05,50,25.0,9,1,0.528,29,True,0.039999999999999994
complex,1e-05,50,25.0,9,2,0.658,15,True,0.04300000000000001
complex,1e-05,50,25.0,9,3,0.501,18,True,0.051000000000000004
complex,1e-05,50,25.0,9,4,0.674,11,True,0.05600000000000001
complex,1e-05,50,25.0,10,0,0.389,,False,0.04000000000000001
complex,1e-05,50,25.0,10,1,0.36,,False,0.039999999999999994
complex,1e-05,50,25.0,10,2,0.456,,False,0.06
complex,1e-05,50,25.0,10,3,0.742,24.0,True,0.049
complex,1e-05,50,25.0,10,4,0.814,8.0,True,0.063
complex,1e-05,50,25.0,11,0,0.707,11.0,True,0.060999999999999985
complex,1e-05,50,25.0,11,1,0.731,16.0,True,0.04600000000000001
complex,1e-05,50,25.0,11,2,0.513,22.0,True,0.04899999999999999
complex,1e-05,50,25.0,11,3,0.528,18.0,True,0.057999999999999996
complex,1e-05,50,25.0,11,4,0.285,,False,0.05
complex,1e-05,50,25.0,12,0,0.689,14.0,True,0.051000000000000004
complex,1e-05,50,25.0,12,1,0.678,10.0,True,0.06499999999999997
complex,1e-05,50,25.0,12,2,0.498,,False,0.04900000000000001
complex,1e-05,50,25.0,12,3,0.585,16.0,True,0.059
complex,1e-05,50,25.0,12,4,0.687,15.0,True,0.048
complex,1e-05,50,25.0,13,0,0.706,12.0,True,0.05700000000000002
complex,1e-05,50,25.0,13,1,0.426,,False,0.043000000000000003
complex,1e-05,50,25.0,13,2,0.738,10.0,True,0.068
complex,1e-05,50,25.0,13,3,0.343,,False,0.04900000000000001
complex,1e-05,50,25.0,13,4,0.506,18.0,True,0.07100000000000001
complex,1e-05,50,25.0,14,0,0.522,19.0,True,0.061
complex,1e-05,50,25.0,14,1,0.675,12.0,True,0.062
complex,1e-05,50,25.0,14,2,0.407,,False,0.060000000000000005
complex,1e-05,50,25.0,14,3,0.646,16.0,True,0.055999999999999994
complex,1e-05,50,25.0,14,4,0.524,17.0,True,0.04999999999999999
complex,1e-05,50,25.0,15,0,0.531,27.0,True,0.032999999999999995
complex,1e-05,50,25.0,15,1,0.85,12.0,True,0.045
complex,1e-05,50,25.0,15,2,0.877,8.0,True,0.07400000000000001
complex,1e-05,50,25.0,15,3,0.51,17.0,True,0.059
complex,1e-05,50,25.0,15,4,0.375,,False,0.039999999999999994
complex,1e-05,50,25.0,16,0,0.694,10.0,True,0.05299999999999999
complex,1e-05,50,25.0,16,1,0.653,12.0,True,0.064
complex,1e-05,50,25.0,16,2,0.778,12.0,True,0.051000000000000045
complex,1e-05,50,25.0,16,3,0.598,14.0,True,0.04500000000000001
complex,1e-05,50,25.0,16,4,0.455,,False,0.05099999999999999
complex,1e-05,50,25.0,17,0,0.566,12.0,True,0.064
complex,1e-05,50,25.0,17,1,0.474,,False,0.03899999999999999
complex,1e-05,50,25.0,17,2,0.844,12.0,True,0.04500000000000004
