contagion_type,population_density,k_cap_mean,k_cap_sd,network_replicate,contagion_replicate,final_infected_fraction,time_to_majority,reached_majority_spread,max_slope
simple,1e-05,50,25.0,0,0,1.0,18.0,True,0.10199999999999998
simple,1e-05,50,25.0,0,1,1.0,25.0,True,0.09399999999999997
simple,1e-05,50,25.0,0,2,1.0,20.0,True,0.09500000000000008
simple,1e-05,50,25.0,0,3,1.0,20.0,True,0.09099999999999997
simple,1e-05,50,25.0,0,4,1.0,19.0,True,0.09499999999999997
simple,1e-05,50,25.0,1,0,1.0,21.0,True,0.09199999999999997
simple,1e-05,50,25.0,1,1,1.0,21.0,True,0.09499999999999997
simple,1e-05,50,25.0,1,2,1.0,15.0,True,0.09700000000000003
simple,1e-05,50,25.0,1,3,1.0,30.0,True,0.09599999999999997
simple,1e-05,50,25.0,1,4,1.0,16.0,True,0.09400000000000003
simple,1e-05,50,25.0,2,0,1.0,20.0,True,0.09500000000000003
simple,1e-05,50,25.0,2,1,1.0,23.0,True,0.09300000000000003
simple,1e-05,50,25.0,2,2,1.0,22.0,True,0.09500000000000003
simple,1e-05,50,25.0,2,3,1.0,18.0,True,0.10899999999999999
simple,1e-05,50,25.0,2,4,1.0,24.0,True,0.09800000000000003
simple,1e-05,50,25.0,3,0,1.0,32.0,True,0.10199999999999998
simple,1e-05,50,25.0,3,1,1.0,33.0,True,0.08999999999999997
simple,1e-05,50,25.0,3,2,1.0,18.0,True,0.09500000000000003
simple,1e-05,50,25.0,3,3,1.0,19.0,True,0.09100000000000008
simple,1e-05,50,25.0,3,4,0.999,23.0,True,0.09399999999999997
simple,1e-05,50,25.0,4,0,1.0,19.0,True,0.11100000000000004
simple,1e-05,50,25.0,4,1,1.0,17.0,True,0.09300000000000003
simple,1e-05,50,25.0,4,2,1.0,17.0,True,0.08699999999999997
simple,1e-05,50,25.0,4,3,1.0,23.0,True,0.09799999999999998
simple,1e-05,50,25.0,4,4,1.0,28.0,True,0.09799999999999998
simple,1e-05,50,25.0,5,0,1.0,21.0,True,0.10400000000000004
simple,1e-05,50,25.0,5,1,1.0,29.0,True,0.10299999999999992
simple,1e-05,50,25.0,5,2,1.0,16.0,True,0.10100000000000003
simple,1e-05,50,25.0,5,3,1.0,26.0,True,0.11399999999999999
simple,1e-05,50,25.0,5,4,1.0,20.0,True,0.09799999999999998
simple,1e-05,50,25.0,6,0,1.0,16.0,True,0.08699999999999997
simple,1e-05,50,25.0,6,1,1.0,27.0,True,0.10799999999999998
simple,1e-05,50,25.0,6,2,1.0,20.0,True,0.08499999999999996
simple,1e-05,50,25.0,6,3,1.0,26.0,True,0.09700000000000003
simple,1e-05,50,25.0,6,4,1.0,21.0,True,0.09400000000000003
simple,1e-05,50,25.0,7,0,1.0,16.0,True,0.10099999999999998
simple,1e-05,50,25.0,7,1,1.0,18.0,True,0.10199999999999998
simple,1e-05,50,25.0,7,2,1.0,21.0,True,0.09899999999999998
simple,1e-05,50,25.0,7,3,1.0,18.0,True,0.09899999999999998
simple,1e-05,50,25.0,7,4,1.0,19.0,True,0.09700000000000003
simple,1e-05,50,25.0,8,0,1.0,19.0,True,0.09800000000000003
simple,1e-05,50,25.0,8,1,1.0,20.0,True,0.09499999999999997
simple,1e-05,50,25.0,8,2,1.0,23.0,True,0.09999999999999998
simple,1e-05,50,25.0,8,3,1.0,21.0,True,0.09899999999999998
simple,1e-05,50,25.0,8,4,1.0,17.0,True,0.09000000000000002
simple,1e-05,50,25.0,9,0,0.999,19,True,0.09899999999999998
simple,1e-05,50,25.0,9,1,1.0,16,True,0.09099999999999997
simple,1e-05,50,25.0,9,2,1.0,29,True,0.09099999999999997
simple,1e-05,50,25.0,9,3,1.0,20,True,0.09300000000000003
simple,1e-05,50,25.0,9,4,1.0,31,True,0.08399999999999996
simple,1e-05,50,25.0,10,0,1.0,20.0,True,0.10200000000000004
simple,1e-05,50,25.0,10,1,1.0,23.0,True,0.09199999999999997
simple,1e-05,50,25.0,10,2,1.0,24.0,True,0.08899999999999997
simple,1e-05,50,25.0,10,3,1.0,19.0,True,0.09499999999999997
simple,1e-05,50,25.0,10,4,1.0,21.0,True,0.09399999999999997
simple,1e-05,50,25.0,11,0,1.0,19.0,True,0.09900000000000003
simple,1e-05,50,25.0,11,1,1.0,20.0,True,0.10299999999999998
simple,1e-05,50,25.0,11,2,1.0,21.0,True,0.08600000000000008
simple,1e-05,50,25.0,11,3,1.0,30.0,True,0.09599999999999997
simple,1e-05,50,25.0,11,4,1.0,21.0,True,0.09099999999999997
simple,1e-05,50,25.0,12,0,1.0,22.0,True,0.10199999999999998
simple,1e-05,50,25.0,12,1,1.0,22.0,True,0.09599999999999997
simple,1e-05,50,25.0,12,2,1.0,22.0,True,0.08800000000000002
simple,1e-05,50,25.0,12,3,1.0,29.0,True,0.08499999999999996
simple,1e-05,50,25.0,12,4,1.0,18.0,True,0.10600000000000004
simple,1e-05,50,25.0,13,0,1.0,28.0,True,0.10100000000000003
simple,1e-05,50,25.0,13,1,1.0,17.0,True,0.09699999999999998
simple,1e-05,50,25.0,13,2,1.0,26.0,True,0.09300000000000003
simple,1e-05,50,25.0,13,3,1.0,21.0,True,0.09200000000000003
simple,1e-05,50,25.0,13,4,1.0,26.0,True,0.09899999999999998
simple,1e-05,50,25.0,14,0,1.0,34.0,True,0.08399999999999996
simple,1e-05,50,25.0,14,1,1.0,28.0,True,0.10699999999999998
simple,1e-05,50,25.0,14,2,1.0,18.0,True,0.09600000000000003
simple,1e-05,50,25.0,14,3,1.0,26.0,True,0.08499999999999996
simple,1e-05,50,25.0,14,4,1.0,18.0,True,0.08799999999999997
simple,1e-05,50,25.0,15,0,1.0,17.0,True,0.09699999999999998
simple,1e-05,50,25.0,15,1,1.0,20.0,True,0.08999999999999997
simple,1e-05,50,25.0,15,2,1.0,22.0,True,0.08700000000000002
simple,1e-05,50,25.0,15,3,1.0,20.0,True,0.08600000000000002
simple,1e-05,50,25.0,15,4,1.0,16.0,True,0.09100000000000003
simple,1e-05,50,25.0,16,0,1.0,20.0,True,0.09299999999999997
simple,1e-05,50,25.0,16,1,1.0,28.0,True,0.08400000000000002
simple,1e-05,50,25.0,16,2,1.0,29.0,True,0.10200000000000004
simple,1e-05,50,25.0,16,3,1.0,21.0,True,0.10599999999999998
simple,1e-05,50,25.0,16,4,1.0,24.0,True,0.09099999999999997
simple,1e-05,50,25.0,17,0,1.0,20.0,True,0.09800000000000003
simple,1e-05,50,25.0,17,1,1.0,20.0,True,0.10700000000000004
simple,1e-05,50,25.0,17,2,1.0,27.0,True,0.08400000000000002
simple,1e-05,50,25.0,17,3,1.0,18.0,True,0.09300000000000003
simple,1e-05,50,25.0,17,4,1.0,21.0,True,0.09200000000000008
simple,1e-05,50,25.0,18,0,1.0,19.0,True,0.09300000000000003
simple,1e-05,50,25.0,18,1,1.0,26.0,True,0.08899999999999997
simple,1e-05,50,25.0,18,2,1.0,21.0,True,0.08699999999999997
simple,1e-05,50,25.0,18,3,0.999,25.0,True,0.09199999999999997
simple,1e-05,50,25.0,18,4,1.0,18.0,True,0.08800000000000002
simple,1e-05,50,25.0,19,0,1.0,20.0,True,0.10399999999999998
simple,1e-05,50,25.0,19,1,1.0,17.0,True,0.09200000000000003
simple,1e-05,50,25.0,19,2,1.0,14.0,True,0.09700000000000003
simple,1e-05,50,25.0,19,3,1.0,21.0,True,0.09999999999999998
simple,1e-05,50,25.0,19,4,1.0,23.0,True,0.08500000000000002
simple,1e-05,50,25.0,20,0,1.0,21,True,0.09899999999999998
