n,k_cap_mean,k_cap_sd,radius,simulation_rounds,population_density,replicate,network_density,network_is_connected,network_num_components,network_largest_component_size,network_avg_shortest_path,network_diameter,network_clustering_coef,network_modularity,network_assortativity
1000,5,2.5,1.0,10000,1e-05,0,0.004508508508508508,False,12,989,5.036858889075376,10,0.05064177244324303,0.6092780366534267,-0.07121890312098987
1000,5,2.5,1.0,10000,1e-05,1,0.004514514514514514,False,13,988,5.05458613801279,10,0.06321242646242646,0.6049368488847154,-0.07949878318189009
1000,5,2.5,1.0,10000,1e-05,2,0.004366366366366366,False,20,981,5.099631779317232,10,0.0474745781995782,0.5984495542239772,-0.0591150034427028
1000,5,2.5,1.0,10000,1e-05,3,0.0046006006006006,False,9,992,5.018804319520849,10,0.05771776556776557,0.6093956526316826,-0.01430581160533176
1000,5,2.5,1.0,10000,1e-05,4,0.004496496496496497,False,12,989,5.066750449273997,11,0.05126642165024518,0.5944004340555169,-0.04849674849322127
1000,5,2.5,1.0,10000,1e-05,5,0.004422422422422422,False,15,986,5.105462258419909,10,0.044697355912061795,0.6178247102628225,-0.06449719003007696
1000,5,2.5,1.0,10000,1e-05,6,0.004328328328328328,False,19,982,5.2199198207905395,11,0.060472610722610724,0.6196126047335141,-0.014404563625860617
1000,5,2.5,1.0,10000,1e-05,7,0.004548548548548549,False,14,987,4.990583467429525,10,0.0695490453990454,0.6106641361151061,-0.05340408994831313
1000,5,2.5,1.0,10000,1e-05,8,0.004482482482482482,False,12,988,5.047510347062419,10,0.0484175342201658,0.5919294587144416,-0.022421144158770886
1000,5,2.5,1.0,10000,1e-05,9,0.004506506506506506,False,17,984,5.015282154347484,10,0.05373520193257036,0.6053525546965552,-0.04057509734424858
1000,5,2.5,1.0,10000,1e-05,10,0.004476476476476476,False,14,987,5.0190262458615145,10,0.05426702839644016,0.600512911185,-0.054641298951749816
1000,5,2.5,1.0,10000,1e-05,11,0.004386386386386386,False,7,994,5.137463248777661,12,0.05003268953268953,0.6059114701214315,-0.048292668582421594
1000,5,2.5,1.0,10000,1e-05,12,0.004484484484484484,False,12,989,5.019868349414408,10,0.042377511377511376,0.5844231305803571,-0.04626715713112252
1000,5,2.5,1.0,10000,1e-05,13,0.004344344344344345,False,12,989,5.222903353896915,12,0.05910047175047175,0.6132273991802757,-0.025383376017976234
1000,5,2.5,1.0,10000,1e-05,14,0.004416416416416416,False,16,985,5.15690850563328,10,0.05016202914732327,0.6069544529096859,-0.03665432364510598
1000,5,2.5,1.0,10000,1e-05,15,0.00451051051051051,False,8,993,5.0746820485332815,10,0.05765892440892441,0.5990094777215722,-0.025144257422901602
1000,5,2.5,1.0,10000,1e-05,16,0.004396396396396396,False,13,988,5.175795462469595,11,0.055435081585081585,0.6190453084097266,-0.08882947218108142
1000,5,2.5,1.0,10000,1e-05,17,0.004530530530530531,False,13,987,5.014876970597483,10,0.05533105848399966,0.6008809707314873,-0.03207868090398564
1000,5,2.5,1.0,10000,1e-05,18,0.004434434434434435,False,13,988,5.107650468232775,10,0.05461069486069486,0.5977877084723999,-0.04483511817483341
1000,5,2.5,1.0,10000,1e-05,19,0.004508508508508508,False,10,991,5.056149792577643,10,0.056545815295815295,0.6149642196870988,-0.027055702992039
1000,5,2.5,1.0,10000,1e-05,20,0.004458458458458458,False,17,984,5.084214161063279,10,0.04601932511932512,0.593974548792839,-0.05219423219998895
1000,5,2.5,1.0,10000,1e-05,21,0.004642642642642643,False,12,989,4.91466864251708,9,0.05704461649461649,0.5937576065578222,-0.05996225078555933
1000,5,2.5,1.0,10000,1e-05,22,0.0044444444444444444,False,18,983,5.074305971370737,11,0.05384009324009324,0.6038931499066634,-0.005403807438102778
1000,5,2.5,1.0,10000,1e-05,23,0.0044104104104104105,False,17,984,5.111261361850648,10,0.04947405927405927,0.6158474732903528,-0.07691149889644985
