source,target
0,3
0,18
0,88
0,90
0,111
0,144
0,146
0,157
0,176
0,194
0,226
0,232
0,251
0,265
0,312
0,342
0,393
0,398
0,402
0,442
0,466
0,482
0,490
0,566
0,619
0,665
0,675
0,690
0,723
0,724
0,765
0,813
0,829
0,871
0,900
1,43
1,79
1,95
1,142
1,174
1,210
1,212
1,220
1,251
1,253
1,265
1,275
1,312
1,357
1,372
1,375
1,411
1,439
1,454
1,457
1,470
1,517
1,532
1,553
1,579
1,606
1,680
1,698
1,718
1,731
1,734
1,745
1,842
1,844
1,875
1,884
1,894
1,963
2,4
2,14
2,20
2,36
2,38
2,41
2,85
2,107
2,114
2,159
2,173
2,211
2,238
2,239
2,264
2,299
2,308
2,319
2,325
2,344
2,359
2,364
2,379
2,408
2,425
2,442
2,448
2,499
2,561
2,574
2,586
2,599
2,607
2,611
2,626
2,652
2,682
2,715
2,717
2,742
2,778
2,807
2,822
2,862
2,867
2,880
2,888
2,899
2,906
2,916
2,929
2,939
2,989
3,44
3,135
3,153
3,155
3,156
3,160
3,163
3,175
3,255
3,257
3,288
3,312
3,342
3,368
3,388
3,392
3,533
3,574
3,605
3,613
3,626
3,632
3,651
3,658
3,675
3,690
3,717
3,724
3,733
3,740
3,759
3,765
3,780
3,801
3,813
3,883
3,885
3,923
3,952
3,986
4,41
4,76
4,85
4,107
4,114
4,118
4,167
4,175
4,212
4,219
4,224
4,249
4,264
4,267
4,276
4,281
4,289
4,319
4,358
4,381
4,397
4,398
4,448
4,451
4,465
4,500
4,505
4,533
4,548
4,564
4,602
4,626
4,641
4,652
4,664
4,672
4,722
4,733
4,754
4,778
4,800
4,822
4,861
4,867
4,870
4,880
4,888
4,915
4,926
5,51
5,154
5,239
5,292
5,312
5,349
5,353
5,362
5,386
5,406
5,417
5,418
5,458
5,460
5,489
5,510
5,538
5,555
5,566
5,646
5,669
5,674
5,737
5,740
5,753
5,758
5,783
5,805
5,867
5,904
5,913
5,916
5,922
5,952
5,983
5,990
6,12
6,52
6,56
6,57
6,58
6,88
6,95
6,98
6,104
6,105
6,115
6,128
6,134
6,139
6,164
6,210
6,232
6,243
6,254
6,263
6,267
6,274
6,285
6,332
6,338
6,358
6,370
6,375
6,393
6,399
6,415
6,434
6,457
6,469
6,471
6,477
6,497
6,520
6,534
6,596
6,609
6,612
6,616
6,632
6,645
6,650
6,693
6,699
6,731
6,774
6,797
6,803
6,821
6,827
6,834
6,836
6,845
6,850
6,852
6,857
6,878
6,886
6,907
6,926
6,934
6,940
6,985
6,998
7,15
7,46
7,86
7,89
7,118
7,143
7,168
7,177
7,193
7,197
7,221
7,235
7,282
7,300
7,380
7,457
7,488
7,527
7,557
7,583
7,631
7,638
7,681
7,689
7,691
7,714
7,741
7,745
7,763
7,766
7,771
7,780
7,785
7,817
7,823
7,841
7,854
8,19
8,35
8,38
8,84
8,96
8,119
8,138
8,154
8,161
8,233
8,239
8,250
8,261
8,262
8,268
8,283
8,295
8,315
8,325
8,346
8,353
8,362
8,366
8,385
8,386
8,417
8,418
8,460
8,492
8,508
8,515
8,520
8,550
8,555
8,578
8,629
8,644
8,646
8,664
8,699
8,744
8,753
8,756
8,772
8,805
8,825
8,828
8,833
8,904
8,911
8,919
8,925
8,929
8,958
8,983
9,23
9,55
9,59
9,65
9,84
9,123
9,125
9,194
9,197
9,203
9,204
9,217
9,224
9,234
9,281
9,293
9,301
9,378
9,403
9,412
9,439
9,441
9,449
9,451
9,480
9,488
9,498
9,515
9,548
9,553
9,555
9,559
9,571
9,585
9,586
9,589
9,597
9,608
9,636
9,651
9,665
9,679
9,718
9,735
9,751
9,759
9,789
9,792
9,793
9,813
9,814
9,818
9,830
9,890
9,914
9,923
9,930
9,950
9,957
9,978
10,17
10,22
10,111
10,156
10,158
10,175
10,224
10,229
10,246
10,251
10,257
10,270
10,277
10,312
10,328
10,342
10,372
10,388
10,393
10,426
10,484
10,504
