source,target
0,193
0,265
1,28
1,79
1,120
1,145
1,153
1,165
1,177
1,205
1,230
1,243
1,290
1,320
1,388
1,399
1,473
1,487
1,498
1,505
1,573
1,633
1,685
1,691
1,721
1,733
1,740
1,743
1,793
1,795
1,875
1,879
1,883
1,894
1,923
2,3
2,26
2,115
2,125
2,161
2,206
2,233
2,235
2,247
2,270
2,274
2,288
2,307
2,314
2,326
2,334
2,361
2,377
2,384
2,390
2,401
2,426
2,453
2,457
2,470
2,488
2,511
2,512
2,514
2,515
2,521
2,542
2,543
2,608
2,621
2,668
2,719
2,768
2,801
2,824
2,835
2,844
2,869
2,871
2,874
2,889
2,927
2,931
2,934
2,964
2,983
2,984
2,987
3,11
3,32
3,64
3,70
3,71
3,86
3,101
3,137
3,161
3,163
3,193
3,220
3,235
3,236
3,241
3,256
3,270
3,286
3,295
3,297
3,320
3,349
3,361
3,393
3,398
3,400
3,431
3,432
3,443
3,446
3,452
3,460
3,461
3,470
3,473
3,493
3,501
3,505
3,509
3,511
3,519
3,551
3,555
3,585
3,591
3,594
3,597
3,608
3,612
3,634
3,667
3,668
3,679
3,692
3,738
3,746
3,766
3,770
3,780
3,783
3,809
3,825
3,844
3,858
3,860
3,863
3,869
3,874
3,875
3,909
3,950
3,956
3,972
3,996
4,13
4,18
4,34
4,75
4,149
4,156
4,227
4,246
4,268
4,303
4,352
4,364
4,385
4,388
4,428
4,442
4,495
4,573
4,579
4,581
4,592
4,628
4,644
4,649
4,658
4,661
4,678
4,710
4,722
4,727
4,761
4,763
4,793
4,800
4,811
4,883
4,935
4,939
4,943
4,973
4,991
4,997
5,45
5,54
5,76
5,149
5,165
5,177
5,190
5,204
5,205
5,230
5,239
5,243
5,253
5,267
5,333
5,348
5,360
5,399
5,408
5,409
5,415
5,418
5,473
5,484
5,505
5,522
5,532
5,570
5,573
5,599
5,621
5,632
5,676
5,685
5,714
5,721
5,734
5,740
5,743
5,793
5,845
5,846
5,864
5,878
5,896
5,923
5,953
6,53
6,57
6,131
6,138
6,156
6,187
6,195
6,235
6,249
6,254
6,259
6,269
6,283
6,287
6,303
6,314
6,349
6,380
6,385
6,423
6,448
6,495
6,507
6,525
6,544
6,564
6,588
6,605
6,610
6,622
6,625
6,632
6,646
6,649
6,652
6,674
6,678
6,704
6,707
6,713
6,742
6,766
6,800
6,811
6,820
6,830
6,890
6,900
6,903
6,919
6,952
6,973
6,982
6,991
7,14
7,94
7,131
7,189
7,201
7,211
7,215
7,252
7,311
7,329
7,330
7,481
7,483
7,502
7,508
7,512
7,519
7,559
7,567
7,568
7,636
7,644
7,659
7,675
7,683
7,693
7,709
7,805
7,844
7,861
7,887
7,888
7,915
7,920
7,922
7,944
7,945
8,57
8,100
8,116
8,150
8,158
8,214
8,229
8,262
8,277
8,309
8,365
8,419
8,440
8,456
8,459
8,483
8,520
8,523
8,542
8,563
8,568
8,613
8,643
8,648
8,705
8,732
8,745
8,762
8,773
8,791
8,806
8,832
8,836
8,861
8,930
8,951
8,967
8,979
8,983
8,985
9,19
9,26
9,28
9,32
9,55
9,64
9,113
9,187
9,225
9,254
9,306
9,314
9,353
9,436
9,437
9,458
9,511
9,529
9,562
9,645
9,662
9,742
9,822
9,906
9,911
10,31
10,35
10,45
10,62
10,76
10,100
10,145
10,174
10,177
10,190
10,204
10,205
10,246
10,248
10,256
10,290
10,296
10,299
10,320
10,333
10,351
10,357
10,360
10,361
10,379
10,397
10,404
10,409
10,410
10,430
10,435
10,443
10,469
10,474
10,476
10,498
10,501
10,505
10,558
10,563
10,577
10,582
10,609
10,621
10,623
10,629
10,676
10,721
10,725
10,727
10,734
10,735
10,743
10,747
10,752
10,767
10,780
10,787
10,797
10,810
10,845
10,846
10,857
10,860
10,864
10,896
10,907
10,916
10,979
11,21
11,28
11,44
11,58
11,68
11,88
11,99
11,115
11,125
11,130
11,137
11,161
11,172
11,207
11,239
11,264
11,271
11,274
11,299
11,324
11,325
11,326
11,345
11,351
11,358
11,366
11,384
11,390
11,401
11,422
11,460
11,478
11,489
11,515
11,551
11,596
11,634
11,644
11,658
11,660
11,669
11,703
11,726
11,738
11,746
11,749
11,777
11,796
11,820
11,828
11,844
11,926
11,972
11,992
12,50
12,73
12,82
12,89
12,138
12,139
12,140
12,182
12,192
12,201
12,247
12,248
12,255
12,272
12,280
12,284
12,290
12,314
12,327
12,339
12,346
12,357
12,363
12,407
12,419
12,421
12,442
12,448
12,461
12,493
12,546
12,565
12,570
12,592
12,628
12,661
12,673
12,708
12,712
12,724
12,761
12,792
12,822
12,828
12,856
12,863
12,893
12,897
12,917
12,935
12,956
12,966
12,991
13,17
13,31
13,114
13,118
13,211
13,234
13,275
13,283
13,287
13,352
13,375
13,385
13,436
13,491
13,496
13,509
13,511
13,524
13,604
13,625
13,629
13,649
13,677
13,689
13,690
13,702
13,739
13,783
13,814
13,820
13,878
13,906
13,908
13,930
13,970
14,31
14,141
14,145
14,147
14,179
14,183
14,213
14,221
14,229
14,249
14,294
14,304
14,332
14,359
14,413
14,466
14,474
14,481
14,492
14,495
14,508
14,510
14,547
14,673
14,681
14,682
14,686
14,688
14,697
14,715
14,741
14,753
14,776
14,813
14,818
14,821
14,836
14,839
14,843
14,932
14,949
14,951
14,969
14,981
15,59
15,72
15,115
15,137
15,147
15,210
15,226
15,231
15,233
15,244
15,260
15,265
15,331
15,341
15,351
15,366
15,412
15,427
15,460
15,472
15,489
15,497
15,515
15,578
15,660
15,749
15,756
15,771
15,777
15,800
15,801
15,826
15,844
15,851
15,853
15,889
15,915
16,19
16,30
16,70
16,93
16,132
16,151
16,159
16,161
16,182
16,184
16,202
16,219
16,220
16,233
16,235
16,279
16,292
16,324
16,331
16,461
16,521
16,538
16,548
16,585
16,594
16,718
16,795
16,813
16,814
16,867
16,918
16,958
16,969
16,979
17,23
17,32
17,44
17,54
17,111
17,115
17,118
17,132
17,234
17,253
17,303
17,313
17,333
17,345
17,348
17,352
17,385
17,388
17,404
17,410
17,415
17,430
17,431
17,432
17,442
17,443
17,457
17,463
17,532
17,581
17,627
17,629
17,649
17,667
17,687
17,706
17,721
17,735
17,750
17,759
17,782
17,795
17,799
17,804
17,810
17,849
17,861
17,909
17,913
17,959
18,24
18,38
18,62
18,104
18,129
18,134
18,140
18,173
18,174
18,175
18,192
18,213
18,216
18,272
18,280
18,282
18,298
18,424
18,425
18,428
18,434
18,448
18,546
18,560
18,592
18,633
18,667
18,673
18,707
18,708
18,720
18,772
18,778
18,812
18,822
18,838
18,848
18,856
18,911
18,956
18,970
18,978
18,994
19,26
19,60
19,71
19,74
19,105
19,128
19,137
19,162
19,180
19,186
19,188
19,211
19,212
19,218
19,254
19,264
19,271
19,278
19,288
19,324
19,345
19,383
19,403
19,479
19,485
19,488
19,489
19,502
19,513
19,539
19,551
19,556
19,566
19,576
19,578
19,596
19,597
19,624
19,636
19,660
19,665
19,669
19,689
19,690
19,718
19,726
19,728
19,737
19,738
19,794
19,801
19,820
19,850
19,871
19,889
19,891
19,955
19,957
20,154
20,209
20,391
20,419
20,456
20,466
20,508
20,520
20,523
20,552
20,584
20,696
20,762
20,804
20,827
20,891
20,979
20,983
21,34
21,60
21,115
21,137
21,220
21,288
21,326
21,417
21,461
21,489
21,514
21,515
21,549
21,660
21,669
21,692
21,758
21,824
21,844
21,880
21,900
21,903
21,990
22,48
22,80
22,83
22,93
22,101
22,112
22,114
22,116
22,135
22,160
22,193
22,227
22,238
22,277
22,361
22,393
22,422
22,430
22,499
22,510
22,514
22,521
22,550
22,554
22,566
22,619
22,626
22,648
22,659
22,684
22,736
22,784
22,791
22,799
22,833
22,869
22,877
22,892
22,895
22,903
22,913
22,915
22,927
22,974
22,985
23,58
23,92
23,93
23,142
23,182
23,209
23,278
23,279
23,295
23,299
23,301
23,318
23,372
23,398
23,400
23,423
23,429
23,431
23,432
23,445
23,452
23,470
23,493
23,500
23,501
23,514
23,519
23,585
23,624
23,658
23,667
23,668
23,692
23,704
23,706
23,723
23,728
23,768
23,780
23,815
23,844
23,858
23,872
23,915
23,936
23,987
23,995
23,996
24,28
24,95
24,118
24,156
24,248
24,253
24,339
24,372
24,429
24,432
24,442
24,466
24,486
24,558
24,586
24,611
24,622
24,629
24,778
24,779
24,783
24,824
24,893
24,976
24,997
25,30
25,39
25,84
25,132
25,144
25,186
25,218
25,245
25,258
25,351
25,358
25,394
25,457
25,472
25,518
25,543
25,550
25,551
25,569
25,576
25,586
25,597
25,612
25,622
25,699
25,749
25,777
25,816
25,844
25,862
25,930
25,955
25,984
26,37
26,72
26,94
26,95
26,99
26,144
26,160
26,180
26,186
26,193
26,203
26,212
26,224
26,236
26,264
26,278
26,330
26,331
26,343
26,366
26,385
26,390
26,393
26,401
26,461
26,488
26,500
26,511
26,514
26,521
26,566
26,579
26,591
26,632
26,648
26,651
26,665
26,672
26,679
26,726
26,771
26,813
26,816
26,867
26,872
26,880
26,922
26,927
26,930
26,941
26,944
26,947
26,972
27,62
27,86
27,140
27,194
27,215
27,304
27,339
27,347
27,402
27,425
27,503
27,510
27,630
27,700
27,804
27,848
27,855
27,876
27,911
28,35
28,45
28,75
28,79
28,141
28,171
28,173
28,234
28,246
28,259
28,268
28,273
28,286
28,296
28,311
28,318
28,328
28,345
28,352
28,381
28,388
28,404
28,407
28,414
28,422
28,428
28,432
28,457
28,517
28,570
28,598
28,610
28,640
28,649
28,678
28,691
28,707
28,746
28,786
28,788
28,838
28,849
28,883
28,902
28,909
28,917
28,943
28,948
28,971
28,997
29,39
29,55
29,78
29,100
29,128
29,160
29,162
29,191
29,222
29,232
29,237
29,238
29,258
29,271
29,291
29,366
29,368
29,374
29,383
29,398
29,445
29,453
29,479
29,485
29,551
29,586
29,589
29,690
29,695
29,731
29,738
29,832
29,837
29,853
29,875
29,878
29,880
29,881
29,926
29,984
29,993
30,48
30,51
30,94
30,113
30,114
30,116
30,118
30,137
30,161
30,182
30,193
30,199
30,233
30,270
30,272
30,329
30,330
30,334
30,361
30,436
30,461
30,501
30,539
30,543
30,560
30,621
30,643
30,672
30,677
30,702
30,719
30,732
30,763
30,792
30,813
30,824
30,825
30,860
30,861
30,880
30,936
30,979
30,987
31,64
31,70
31,99
31,118
31,125
31,176
31,181
31,213
31,220
31,225
31,233
31,253
31,254
31,259
31,304
31,349
31,353
31,375
31,385
31,404
31,428
31,430
31,436
31,491
31,495
31,524
31,545
31,562
31,583
31,645
31,667
31,672
31,682
31,685
31,702
31,711
31,750
31,802
31,812
31,813
31,909
31,913
31,915
31,920
31,958
31,970
31,990
32,34
32,60
32,105
32,115
32,235
32,253
32,273
32,274
32,288
32,312
32,326
32,452
32,459
32,461
32,470
32,514
32,525
32,533
32,576
32,594
32,606
32,646
32,692
32,767
32,785
32,825
32,829
32,875
32,889
32,895
32,938
32,996
33,62
33,67
33,80
33,86
33,90
33,122
33,145
33,151
33,179
33,181
33,194
33,266
33,276
33,306
33,316
33,321
33,347
33,350
33,402
33,404
33,407
33,409
33,417
33,422
33,447
33,454
33,464
33,473
33,491
33,510
33,544
33,552
33,564
33,618
33,627
33,630
33,633
33,642
33,681
33,682
33,804
33,817
33,822
33,838
33,844
33,855
33,874
33,887
33,911
34,44
34,113
34,147
34,153
34,174
34,216
34,254
34,274
34,279
34,289
34,293
34,341
34,375
34,413
34,431
34,442
34,452
34,458
34,474
34,495
34,515
34,548
34,634
34,647
34,680
34,702
34,726
34,756
34,792
34,811
34,813
34,880
34,889
34,908
34,909
34,918
34,927
34,931
34,958
34,967
35,153
35,166
35,272
35,296
35,313
35,318
35,333
35,357
35,379
35,416
35,505
35,519
35,522
35,595
35,602
35,603
35,676
35,679
35,740
35,743
35,797
35,810
35,896
36,38
36,50
36,87
36,92
36,129
36,134
36,136
36,141
36,151
36,166
36,189
36,192
36,223
36,242
36,272
36,280
36,282
36,362
36,363
36,421
36,434
36,467
36,474
36,478
36,486
36,524
36,540
36,546
36,558
36,586
36,590
36,605
36,607
36,620
36,637
36,639
36,673
36,706
36,707
36,712
36,729
36,753
36,761
36,765
36,772
36,838
36,848
36,854
36,878
