threshold_distribution,population_density,k_cap_mean,k_cap_sd,network_replicate,contagion_replicate,final_infected_fraction,time_to_majority,reached_majority_spread,max_slope
uniform,1e-05,50,25.0,0,0,0.589,14.0,True,0.05800000000000001
uniform_min_1_over_k,1e-05,50,25.0,0,0,0.672,7.0,True,0.086
uniform,1e-05,50,25.0,0,1,0.689,13.0,True,0.05399999999999999
uniform_min_1_over_k,1e-05,50,25.0,0,1,0.638,13.0,True,0.048
uniform,1e-05,50,25.0,0,2,0.714,12.0,True,0.049
uniform_min_1_over_k,1e-05,50,25.0,0,2,0.797,11.0,True,0.056999999999999995
uniform,1e-05,50,25.0,0,3,0.849,9.0,True,0.067
uniform_min_1_over_k,1e-05,50,25.0,0,3,0.546,15.0,True,0.04600000000000001
uniform,1e-05,50,25.0,0,4,0.591,15.0,True,0.05199999999999999
uniform_min_1_over_k,1e-05,50,25.0,0,4,0.734,11.0,True,0.059000000000000025
uniform,1e-05,50,25.0,0,5,0.767,15.0,True,0.052
uniform_min_1_over_k,1e-05,50,25.0,0,5,0.594,10.0,True,0.06499999999999997
uniform,1e-05,50,25.0,0,6,0.643,17.0,True,0.045
uniform_min_1_over_k,1e-05,50,25.0,0,6,0.307,,False,0.02700000000000001
uniform,1e-05,50,25.0,0,7,0.736,12.0,True,0.05100000000000002
uniform_min_1_over_k,1e-05,50,25.0,0,7,0.261,,False,0.031999999999999994
uniform,1e-05,50,25.0,0,8,0.707,11.0,True,0.061
uniform_min_1_over_k,1e-05,50,25.0,0,8,0.661,12.0,True,0.05
uniform,1e-05,50,25.0,0,9,0.742,11.0,True,0.053000000000000005
uniform_min_1_over_k,1e-05,50,25.0,0,9,0.811,9.0,True,0.06599999999999999
uniform,1e-05,50,25.0,0,10,0.582,35.0,True,0.055999999999999994
uniform_min_1_over_k,1e-05,50,25.0,0,10,0.709,15.0,True,0.039000000000000035
uniform,1e-05,50,25.0,0,11,0.617,20.0,True,0.033999999999999996
uniform_min_1_over_k,1e-05,50,25.0,0,11,0.335,,False,0.018000000000000002
uniform,1e-05,50,25.0,0,12,0.501,18.0,True,0.055999999999999994
uniform_min_1_over_k,1e-05,50,25.0,0,12,0.715,11.0,True,0.06299999999999999
uniform,1e-05,50,25.0,0,13,0.639,9.0,True,0.065
uniform_min_1_over_k,1e-05,50,25.0,0,13,0.45,,False,0.04100000000000001
uniform,1e-05,50,25.0,0,14,0.599,15.0,True,0.04
uniform_min_1_over_k,1e-05,50,25.0,0,14,0.484,,False,0.049000000000000016
uniform,1e-05,50,25.0,0,15,0.778,11.0,True,0.056999999999999995
uniform_min_1_over_k,1e-05,50,25.0,0,15,0.636,14.0,True,0.04200000000000001
uniform,1e-05,50,25.0,0,16,0.546,35.0,True,0.04799999999999999
uniform_min_1_over_k,1e-05,50,25.0,0,16,0.483,,False,0.04500000000000001
uniform,1e-05,50,25.0,0,17,0.596,13.0,True,0.046999999999999986
uniform_min_1_over_k,1e-05,50,25.0,0,17,0.447,,False,0.045
uniform,1e-05,50,25.0,0,18,0.353,,False,0.045
uniform_min_1_over_k,1e-05,50,25.0,0,18,0.488,,False,0.032999999999999974
uniform,1e-05,50,25.0,0,19,0.65,17.0,True,0.05400000000000002
uniform_min_1_over_k,1e-05,50,25.0,0,19,0.709,15.0,True,0.05100000000000002
uniform,1e-05,50,25.0,0,20,0.827,10.0,True,0.06599999999999999
uniform_min_1_over_k,1e-05,50,25.0,0,20,0.599,20.0,True,0.04200000000000001
uniform,1e-05,50,25.0,0,21,0.429,,False,0.04200000000000001
uniform_min_1_over_k,1e-05,50,25.0,0,21,0.711,23.0,True,0.036000000000000004
uniform,1e-05,50,25.0,0,22,0.399,,False,0.056
uniform_min_1_over_k,1e-05,50,25.0,0,22,0.836,10.0,True,0.057999999999999996
uniform,1e-05,50,25.0,0,23,0.404,,False,0.044000000000000004
uniform_min_1_over_k,1e-05,50,25.0,0,23,0.638,13.0,True,0.04600000000000001
uniform,1e-05,50,25.0,0,24,0.645,11.0,True,0.054
uniform_min_1_over_k,1e-05,50,25.0,0,24,0.621,26.0,True,0.049000000000000016
uniform,1e-05,50,25.0,0,25,0.268,,False,0.036
uniform_min_1_over_k,1e-05,50,25.0,0,25,0.776,20.0,True,0.040999999999999995
uniform,1e-05,50,25.0,0,26,0.887,15.0,True,0.054
uniform_min_1_over_k,1e-05,50,25.0,0,26,0.513,24.0,True,0.051
uniform,1e-05,50,25.0,0,27,0.312,,False,0.033
uniform_min_1_over_k,1e-05,50,25.0,0,27,0.5,,False,0.04300000000000001
uniform,1e-05,50,25.0,0,28,0.632,15.0,True,0.04200000000000001
uniform_min_1_over_k,1e-05,50,25.0,0,28,0.734,16.0,True,0.035999999999999976
uniform,1e-05,50,25.0,0,29,0.719,9.0,True,0.064
uniform_min_1_over_k,1e-05,50,25.0,0,29,0.742,17.0,True,0.05299999999999999
uniform,1e-05,50,25.0,0,30,0.556,15.0,True,0.06600000000000002
uniform_min_1_over_k,1e-05,50,25.0,0,30,0.486,,False,0.046
uniform,1e-05,50,25.0,0,31,0.524,19.0,True,0.043999999999999984
