n,k_cap_mean,k_cap_sd,radius,simulation_rounds,population_density,replicate,network_density,network_is_connected,network_num_components,network_largest_component_size,network_avg_shortest_path,network_diameter,network_clustering_coef,network_modularity,network_assortativity
1000,50,25.0,10.0,100000,1e-05,0,0.04324924924924925,True,1,1000,2.285267267267267,4,0.17125738716076225,0.3441323706438041,0.04007313006401912
1000,50,25.0,10.0,100000,1e-05,1,0.042444444444444444,True,1,1000,2.2931431431431433,4,0.1680823251472735,0.3722425975472174,0.039732439095677585
1000,50,25.0,10.0,100000,1e-05,2,0.04285085085085085,True,1,1000,2.3006126126126127,4,0.17629716791986147,0.37880996849601273,0.06870247889376875
1000,50,25.0,10.0,100000,1e-05,3,0.042372372372372374,True,1,1000,2.290994994994995,4,0.16321954386810633,0.36760366572946784,0.06428295723627805
1000,50,25.0,10.0,100000,1e-05,4,0.042912912912912916,True,1,1000,2.290908908908909,4,0.16970896009704256,0.38117292127500535,0.06800362603952374
1000,50,25.0,10.0,100000,1e-05,5,0.042634634634634634,True,1,1000,2.2989209209209207,4,0.17141502917216567,0.3949751547240682,0.07583273905344995
1000,50,25.0,10.0,100000,1e-05,6,0.043065065065065064,True,1,1000,2.288840840840841,4,0.17174804861641269,0.36901366551769954,0.06491970110552688
1000,50,25.0,10.0,100000,1e-05,7,0.042906906906906905,True,1,1000,2.2857797797797796,4,0.16756144429733275,0.366796524544377,0.06107762568016226
1000,50,25.0,10.0,100000,1e-05,8,0.042204204204204204,True,1,1000,2.2953613613613615,4,0.16470616753893097,0.3657452235714244,0.05796272480378841
1000,50,25.0,10.0,100000,1e-05,9,0.043043043043043044,True,1,1000,2.2928328328328327,4,0.16917586110356728,0.3830798972417523,0.06893612339339067
1000,50,25.0,10.0,100000,1e-05,10,0.04147347347347347,True,1,1000,2.309225225225225,4,0.16654634440820887,0.3745637729433044,0.06665332422066893
1000,50,25.0,10.0,100000,1e-05,11,0.04224224224224224,True,1,1000,2.2994754754754756,4,0.1656218551151268,0.37760453606163386,0.08044585700074955
1000,50,25.0,10.0,100000,1e-05,12,0.04267667667667668,True,1,1000,2.2941081081081083,4,0.1708784141516132,0.36966948802550176,0.05391060671576094
1000,50,25.0,10.0,100000,1e-05,13,0.042272272272272274,True,1,1000,2.2964664664664665,4,0.16613346184243502,0.3806137314299214,0.06334942706231995
1000,50,25.0,10.0,100000,1e-05,14,0.04229429429429429,True,1,1000,2.3015915915915914,4,0.16849412340771316,0.3926270236826383,0.060128007894930884
