n,k_cap_mean,k_cap_sd,radius,simulation_rounds,population_density,replicate,network_density,network_is_connected,network_num_components,network_largest_component_size,network_avg_shortest_path,network_diameter,network_clustering_coef,network_modularity,network_assortativity
1000,5,2.5,1.0,10000,1e-05,0,0.004334334334334334,False,14,987,5.149871247104858,12,0.05240149295149295,0.6069571014832871,-0.06845052093137596
1000,5,2.5,1.0,10000,1e-05,1,0.0045045045045045045,False,18,983,5.008455349909769,9,0.038709842934842933,0.5997471604938271,-0.013755786470256407
1000,5,2.5,1.0,10000,1e-05,2,0.00451051051051051,False,12,989,4.977953848610014,10,0.05347195552985026,0.5953052880717903,-0.052559006277619565
1000,5,2.5,1.0,10000,1e-05,3,0.004416416416416416,False,15,986,5.163066690005251,10,0.05592014652014652,0.6280526446869947,-0.07585616512904148
1000,5,2.5,1.0,10000,1e-05,4,0.004512512512512512,False,7,994,5.081066459178029,10,0.05448066378066378,0.6103618215157672,-0.037546725167106325
1000,5,2.5,1.0,10000,1e-05,5,0.004546546546546546,False,16,985,5.008870867896496,12,0.04662253857253857,0.5975686391759014,0.020445955948974123
1000,5,2.5,1.0,10000,1e-05,6,0.0045945945945945945,False,14,987,4.976549093591949,9,0.05694414751914752,0.6031619367669605,-0.031436599941530044
1000,5,2.5,1.0,10000,1e-05,7,0.004398398398398398,False,16,983,5.092345846809199,11,0.0594029526029526,0.6296965552189863,0.014482428977517073
1000,5,2.5,1.0,10000,1e-05,8,0.004506506506506506,False,17,984,5.044229544533492,10,0.045615750915750916,0.5946071453311338,-0.09406918479926725
1000,5,2.5,1.0,10000,1e-05,9,0.0044424424424424425,False,12,989,5.082105590646914,10,0.04832873792873793,0.6023448398555553,-0.05670786178342668
1000,5,2.5,1.0,10000,1e-05,10,0.004402402402402403,False,17,984,5.096957215757305,10,0.054273060273060274,0.6032546936771664,-0.09757037718004616
1000,5,2.5,1.0,10000,1e-05,11,0.004454454454454454,False,20,981,5.026480684016726,10,0.0472993672993673,0.598448175735387,-0.02808707291044973
1000,5,2.5,1.0,10000,1e-05,12,0.004538538538538538,False,12,989,5.012806867444726,10,0.04866164864547218,0.6061997097263843,-0.049911189291790406
